Unnamed: 0.1,Unnamed: 0,index,suid,headline,timestamp_clean,relevant,sentiment_international,sentiment_economy,sentiment_financial_markets,sentiment_consumer,sentiment_housing,sentiment_labor,sentiment_inflation,hawk_dove,relevant_confidence,topic_international_confidence,topic_economy_confidence,topic_financial_markets_confidence,topic_consumer_confidence,topic_housing_confidence,topic_labor_confidence,topic_inflation_confidence,hawk_dove_confidence,_reviewed,speaker_,speaker__confidence,speaker__reasoning,speaker__model,speaker__temp,speaker__config_id
0.0,0.0,,KD6EMR0S8Z60,*FED'S ROSENGREN SAYS ECONOMY MAY IMPROVE IN SECOND HALF OF 2009,2009-01-09 00:15:00+00:00,1,,1.0,,,,,,0.0,85.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,70.0,1,rosengren,0.95,"The headline follows the FED format, specifically 'FED'S [LASTNAME] SAYS...', which clearly identifies Rosengren as the speaker.",openai/gpt-4o-mini,0.1,
1.0,1.0,,KDDDWQ0D9L37,*FED VICE CHAIR KOHN TO TESTIFY TOMORROW ON TARP PRIORITIES,2009-01-12 17:58:02.260000+00:00,0,,,,,,,,,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,1,kohn,0.9,"The headline mentions 'FED VICE CHAIR KOHN', which follows the Title Format pattern where the title precedes the person's name. Therefore, 'KOHN' is identified as the speaker.",openai/gpt-4o-mini,0.1,
2.0,2.0,890.0,KDEXMQ0D9L36,*BERNANKE SAYS MAY SEE SOME STABILIZATION IN ECONOMY IN 2009,2009-01-13 14:01:38.710000+00:00,1,,1.0,,,,,,0.0,95.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,70.0,1,bernanke,1.0,"The speaker is identified as 'BERNANKE' in the headline, which follows the 'Simple Format' pattern where the lastname is stated directly before the verb 'SAYS'.",openai/gpt-4o-mini,0.1,
3.0,3.0,1702.0,KDF3VP0D9L36,*FED'S KOHN SAYS TARP IS ESSENTIAL TO REVIVING `CREDIT FLOWS',2009-01-13 16:16:37.430000+00:00,1,,,-2.0,,,,,-1.0,,,,,,,,,,1,kohn,0.95,"The speaker is identified using the FED format, where 'FED'S KOHN SAYS...' clearly indicates that Kohn is the one speaking.",openai/gpt-4o-mini,0.1,
4.0,4.0,1709.0,KDFK7A0D9L35,"*FED'S KOHN, FDIC'S BOVENZI COMPLETE HOUSE PANEL TESTIMONY",2009-01-13 22:09:10.270000+00:00,0,,,,,,,,,,,,,,,,,,1,kohn,0.9,"The headline mentions 'FED'S KOHN' as the primary speaker, which follows the common pattern of 'FED'S [LASTNAME]'. Therefore, I identified 'kohn' as the speaker.",openai/gpt-4o-mini,0.1,
5.0,5.0,192.0,KDFMHM0D9L37,"*FED'S LACKER SEES NEED TO KEEP CREDIT, MONETARY POLICY DISCRETE",2009-01-13 22:58:34.710000+00:00,1,,-1.0,-1.0,,,,,-1.0,90.0,100.0,75.0,80.0,100.0,100.0,100.0,100.0,70.0,1,lacker,0.9,"The headline follows the 'FED Format' where 'FED'S' precedes the speaker's name, identifying 'LACKER' as the speaker.",openai/gpt-4o-mini,0.1,
6.0,6.0,1036.0,KDGQQE0S8Z5Y,*FED'S PLOSSER SEES U.S. GROWTH THIS YEAR `WELL BELOW 2%',2009-01-14 13:30:00+00:00,1,,-2.0,,,,,,-1.0,95.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,90.0,1,plosser,0.95,"The headline follows the FED Format pattern, specifically 'FED'S [LASTNAME] SEES...', which indicates that the speaker is Plosser.",openai/gpt-4o-mini,0.1,
7.0,7.0,,KDGQQE0S8Z64,*FED'S PLOSSER SAYS HOUSING SECTOR TO `HIT BOTTOM' THIS YEAR,2009-01-14 13:30:00+00:00,1,,1.0,1.0,,1.0,,,0.0,95.0,100.0,60.0,60.0,90.0,90.0,100.0,100.0,80.0,1,plosser,0.95,"The headline follows the 'FED Format' where 'FED'S' is followed by 'PLOSSER', indicating that Plosser is the speaker being quoted.",openai/gpt-4o-mini,0.1,
8.0,8.0,,KDL9NE0D9L35,"*WARSH NO LONGER IN RUNNING FOR N.Y. FED, CNBC SAYS",2009-01-17 00:06:50.850000+00:00,0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,warsh,0.9,"The headline mentions 'WARSH', which fits the pattern of '[LASTNAME] SAYS...'. It is clear that Warsh is the primary speaker mentioned in the context of the N.Y. Fed.",openai/gpt-4o-mini,0.1,
9.0,9.0,192.0,KE4UG40D9L37,*NEW YORK FED SAID TO PLAN DUDLEY ANNOUNCEMENT ABOUT 10:45 A.M.,2009-01-27 13:50:28.280000+00:00,0,,,,,,,,,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,dudley,0.9,"The headline mentions 'NEW YORK FED' which indicates the Federal Reserve is speaking. The context suggests an announcement related to 'DUDLEY', identifying him as the primary speaker in this context.",openai/gpt-4o-mini,0.1,
